0 -0.558224 1.441726
1 -0.636446 1.363097
2 -0.714220 1.284095
3 -0.790545 1.203726
4 -0.862344 1.119282
5 -0.920300 1.024741
6 -0.939484 0.915240
7 -0.894590 0.812565
8 -0.829648 0.722165
9 -0.749949 0.644617
10 -0.657594 0.583351
11 -0.555458 0.540406
12 -0.447990 0.513120
13 -0.338452 0.495634
14 -0.228380 0.481812
15 -0.118670 0.465390
16 -0.011208 0.437917
17 0.087989 0.388301
18 0.170385 0.313978
19 0.243300 0.230363
20 0.321335 0.151692
21 0.412335 0.088535
22 0.513678 0.043467
23 0.623499 0.028038
